date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:12:15	108403/108403	---M--	200	added ('OK')	image/jpeg	etag:%221a773-5e9a11afc04f2%22	https://themesbrand.com/velzon/html/default/assets/images/small/img-8.jpg	C:/Users/PC/Documents/Template/CBT/themesbrand.com/velzon/html/default/assets/images/small/img-8.jpg	(from https://themesbrand.com/velzon/html/default/pages-search-results.html)
12:12:15	89332/89332	---M--	200	added ('OK')	image/jpeg	etag:%2215cf4-5e9a11afbf552%22	https://themesbrand.com/velzon/html/default/assets/images/small/img-7.jpg	C:/Users/PC/Documents/Template/CBT/themesbrand.com/velzon/html/default/assets/images/small/img-7.jpg	(from https://themesbrand.com/velzon/html/default/pages-search-results.html)
12:12:15	19823/19823	---M--	200	added ('OK')	image/jpeg	etag:%224d6f-5e9a11afbf552%22	https://themesbrand.com/velzon/html/default/assets/images/small/img-6.jpg	C:/Users/PC/Documents/Template/CBT/themesbrand.com/velzon/html/default/assets/images/small/img-6.jpg	(from https://themesbrand.com/velzon/html/default/pages-search-results.html)
12:12:16	46560/46560	---M--	200	added ('OK')	image/jpeg	etag:%22b5e0-5e9a11afbf552%22	https://themesbrand.com/velzon/html/default/assets/images/small/img-2.jpg	C:/Users/PC/Documents/Template/CBT/themesbrand.com/velzon/html/default/assets/images/small/img-2.jpg	(from https://themesbrand.com/velzon/html/default/pages-search-results.html)
12:12:16	55880/55880	---M-Z	200	added ('OK')	application/javascript	etag:%22da48-5e9a11b008934-gzip%22	https://themesbrand.com/velzon/html/default/assets/libs/glightbox/js/glightbox.min.js	C:/Users/PC/Documents/Template/CBT/themesbrand.com/velzon/html/default/assets/libs/glightbox/js/glightbox.min.js	(from https://themesbrand.com/velzon/html/default/pages-search-results.html)
12:12:17	693/693	---M-Z	200	added ('OK')	application/javascript	etag:%222b5-5dcaee3f0844c-gzip%22	https://themesbrand.com/velzon/html/default/assets/js/pages/search-result.init.js	C:/Users/PC/Documents/Template/CBT/themesbrand.com/velzon/html/default/assets/js/pages/search-result.init.js	(from https://themesbrand.com/velzon/html/default/pages-search-results.html)
12:12:17	4220/4220	---M-Z	200	added ('OK')	text/css	etag:%22107c-5d76f07db4a83-gzip%22	https://themesbrand.com/velzon/html/default/assets/libs/nouislider/nouislider.min.css	C:/Users/PC/Documents/Template/CBT/themesbrand.com/velzon/html/default/assets/libs/nouislider/nouislider.min.css	(from https://themesbrand.com/velzon/html/default/apps-ecommerce-products.html)
12:12:18	7883/7883	---M-Z	200	added ('OK')	text/css	etag:%221ecb-5ef3be4811a4a-gzip%22	https://themesbrand.com/velzon/html/default/assets/libs/gridjs/theme/mermaid.min.css	C:/Users/PC/Documents/Template/CBT/themesbrand.com/velzon/html/default/assets/libs/gridjs/theme/mermaid.min.css	(from https://themesbrand.com/velzon/html/default/apps-ecommerce-products.html)
12:12:18	26682/26682	---M-Z	200	added ('OK')	application/javascript	etag:%22683a-5e9a11b00d755-gzip%22	https://themesbrand.com/velzon/html/default/assets/libs/nouislider/nouislider.min.js	C:/Users/PC/Documents/Template/CBT/themesbrand.com/velzon/html/default/assets/libs/nouislider/nouislider.min.js	(from https://themesbrand.com/velzon/html/default/apps-ecommerce-products.html)
12:12:19	2235/2235	---M-Z	200	added ('OK')	application/javascript	etag:%228bb-5d76f07dbe6c7-gzip%22	https://themesbrand.com/velzon/html/default/assets/libs/wnumb/wNumb.min.js	C:/Users/PC/Documents/Template/CBT/themesbrand.com/velzon/html/default/assets/libs/wnumb/wNumb.min.js	(from https://themesbrand.com/velzon/html/default/apps-ecommerce-products.html)
12:12:19	61580/61580	---M-Z	200	added ('OK')	application/javascript	etag:%22f08c-5ef3be4811a4a-gzip%22	https://themesbrand.com/velzon/html/default/assets/libs/gridjs/gridjs.umd.js	C:/Users/PC/Documents/Template/CBT/themesbrand.com/velzon/html/default/assets/libs/gridjs/gridjs.umd.js	(from https://themesbrand.com/velzon/html/default/apps-ecommerce-products.html)
12:12:19	150/150	---MCZ	302	error ('Found')	text/html	date:Sun,%2011%20Dec%202022%2011:13:44%20GMT	https://unpkg.com/gridjs/plugins/selection/dist/selection.umd.js	C:/Users/PC/Documents/Template/CBT/unpkg.com/gridjs/plugins/selection/dist/selection.umd.12b.delayed	(from https://themesbrand.com/velzon/html/default/apps-ecommerce-products.html)
12:12:20	3088/3088	---MCZ	200	added ('OK')	application/javascript	etag:%22c10-xBVKOlR7UdsdCraSWZHXCfJM+RA%22	https://unpkg.com/gridjs@5.1.0/plugins/selection/dist/selection.umd.js	C:/Users/PC/Documents/Template/CBT/unpkg.com/gridjs@5.1.0/plugins/selection/dist/selection.umd.js	(from https://themesbrand.com/velzon/html/default/apps-ecommerce-products.html)
12:12:20	15700/15700	---M-Z	200	added ('OK')	application/javascript	etag:%223d54-5e9a11afc2432-gzip%22	https://themesbrand.com/velzon/html/default/assets/js/pages/ecommerce-product-list.init.js	C:/Users/PC/Documents/Template/CBT/themesbrand.com/velzon/html/default/assets/js/pages/ecommerce-product-list.init.js	(from https://themesbrand.com/velzon/html/default/apps-ecommerce-products.html)
12:12:21	324/324	---M-Z	200	added ('OK')	application/javascript	etag:%22144-5d76f07d8c9d5-gzip%22	https://themesbrand.com/velzon/html/default/assets/js/pages/ecommerce-product-details.init.js	C:/Users/PC/Documents/Template/CBT/themesbrand.com/velzon/html/default/assets/js/pages/ecommerce-product-details.init.js	(from https://themesbrand.com/velzon/html/default/apps-ecommerce-product-details.html)
12:12:22	1723/1723	---M-Z	200	added ('OK')	application/javascript	etag:%226bb-5e9a11afc2432-gzip%22	https://themesbrand.com/velzon/html/default/assets/js/pages/ecommerce-product-checkout.init.js	C:/Users/PC/Documents/Template/CBT/themesbrand.com/velzon/html/default/assets/js/pages/ecommerce-product-checkout.init.js	(from https://themesbrand.com/velzon/html/default/apps-ecommerce-checkout.html)
12:12:22	82257/82257	---M--	200	added ('OK')	image/png	etag:%2214151-5e9a11afbd612%22	https://themesbrand.com/velzon/html/default/assets/images/products/img-7.png	C:/Users/PC/Documents/Template/CBT/themesbrand.com/velzon/html/default/assets/images/products/img-7.png	(from https://themesbrand.com/velzon/html/default/apps-ecommerce-checkout.html)
